Wall time,Step,Value
1564942604.3859925,5,0.07079975306987762
1564943523.2527618,10,0.22391904890537262
1564944461.501157,15,0.20867948234081268
1564945399.074195,20,0.14663968980312347
1564946339.6724732,25,0.07865948230028152
1564947276.7068498,30,0.26578259468078613
1564948191.3177066,35,0.46657952666282654
1564949135.2035089,40,0.5764873027801514
1564950071.8256714,45,0.5576077103614807
1564950967.3695343,50,0.5274472236633301
1564951915.81763,55,0.826505720615387
1564952835.2474563,60,0.7956528067588806
1564953791.3376508,65,0.8422340154647827
1564954740.5118394,70,0.7446014285087585
1564955619.4002898,75,0.841806948184967
1564956599.713172,80,0.6689611673355103
1564957535.8614516,85,0.7050526142120361
1564958427.562758,90,0.7100428342819214
1564959399.2105358,95,0.5086556673049927
1564960322.012063,100,0.6761119961738586
1564961248.6058254,105,0.5628142952919006
1564962191.6414316,110,0.7875946760177612
1564963090.845242,115,0.45875391364097595
1564964035.6143034,120,0.5558980107307434
1564964966.3276772,125,0.6173630356788635
1564965898.5148494,130,0.6473594307899475
1564966831.3804007,135,0.5726577043533325
1564967762.493863,140,0.7194647192955017
1564968678.331281,145,0.5711387991905212
1564969601.192218,150,0.4902420938014984
1564970536.229767,155,0.6004033088684082
1564971450.1869922,160,0.4755500257015228
1564972377.2565384,165,0.7418532371520996
1564973331.1513958,170,0.7209774255752563
1564974242.067366,175,0.6173583269119263
1564975173.1905696,180,0.7090681791305542
1564976124.8124511,185,0.7241942286491394
1564977046.7407424,190,0.6355878114700317
1564977968.612919,195,0.6600205898284912
1564978903.7557507,200,0.6071922779083252
1564979833.4051914,205,0.6401631832122803
1564980749.544685,210,0.6335142254829407
1564981676.536081,215,0.5961094498634338
1564982611.214932,220,0.6034240126609802
1564983534.5688894,225,0.5174114108085632
1564984487.409778,230,0.6001449823379517
1564985402.7593522,235,0.6427881717681885
1564986328.4579537,240,0.6055259704589844
1564987265.7586212,245,0.5372412204742432
1564988177.949052,250,0.5333049297332764
