Wall time,Step,Value
1564839907.81685,5,0.24156451225280762
1564840712.0008705,10,0.8094760179519653
1564841540.0549183,15,1.4904203414916992
1564842411.9522436,20,1.9983059167861938
1564843232.6458402,25,2.473607301712036
1564844085.2217677,30,2.3958024978637695
1564844945.6849535,35,2.674377679824829
1564845759.9063263,40,2.9894063472747803
1564846570.9781992,45,3.3151326179504395
1564847396.3504019,50,3.3351831436157227
1564848270.11633,55,3.183879852294922
1564849067.3430834,60,3.224125862121582
1564849908.4059064,65,3.09053111076355
1564850849.1767178,70,3.3252408504486084
1564851656.530271,75,3.6312479972839355
1564852425.0052638,80,3.6748318672180176
1564853338.1395452,85,3.390115737915039
1564854164.2598584,90,3.505732774734497
1564854960.6663337,95,3.7181270122528076
1564855864.574652,100,3.690474271774292
1564856654.2861922,105,3.5072615146636963
1564857423.7449822,110,3.4472436904907227
1564858330.4492762,115,3.767022132873535
1564859165.1206942,120,3.388758420944214
1564859984.5845509,125,3.42974853515625
1564860835.8536956,130,4.084292411804199
1564861640.8030875,135,3.5104546546936035
1564862535.7728827,140,4.053629398345947
1564863349.3572934,145,3.9728522300720215
1564864148.4237976,150,3.9775032997131348
1564865004.4523695,155,3.7562716007232666
1564865817.8177066,160,3.885805368423462
1564866652.625795,165,3.7095329761505127
1564867506.098457,170,3.34991455078125
1564868272.6458752,175,3.9866855144500732
1564869209.4587793,180,3.3432865142822266
1564870107.7507472,185,4.138793468475342
1564870947.3924158,190,3.982649564743042
1564871896.9275281,195,3.8035731315612793
1564872781.906022,200,4.040093898773193
1564873704.4467483,205,4.022145748138428
1564874638.330106,210,3.7519447803497314
1564875523.1352236,215,3.991398811340332
1564876456.9876893,220,3.417874336242676
1564877343.9263473,225,4.077979564666748
1564878264.7073941,230,4.172652244567871
1564879167.2182512,235,3.446791410446167
1564880087.35308,240,3.7666118144989014
1564881035.8032074,245,3.780991792678833
1564881584.4878192,250,3.7374491691589355
