Wall time,Step,Value
1564898114.2941349,5,0.2404736578464508
1564898995.5151777,10,0.7690261602401733
1564899798.7546465,15,1.6083486080169678
1564900619.461699,20,1.6378185749053955
1564901504.4561477,25,1.7887786626815796
1564902303.1506162,30,2.062206745147705
1564903141.7872126,35,2.01198673248291
1564903976.8077383,40,2.116375207901001
1564904777.6999876,45,2.309586524963379
1564905636.2086928,50,2.2608470916748047
1564906440.3600373,55,2.325822114944458
1564907264.6464489,60,2.708493947982788
1564908135.5556703,65,2.5651509761810303
1564908975.333644,70,2.6117241382598877
1564909829.2490396,75,3.0867340564727783
1564910648.9595187,80,2.9872658252716064
1564911486.4906166,85,3.36566162109375
1564912341.794276,90,2.1731388568878174
1564913152.8826277,95,2.9609086513519287
1564913983.5845857,100,3.0114097595214844
1564914818.7582521,105,3.0630009174346924
1564915635.1031568,110,3.2610771656036377
1564916468.5688455,115,3.099637746810913
1564917300.0908642,120,3.3750805854797363
1564918128.2581341,125,3.278661012649536
1564918962.0582476,130,3.2440264225006104
1564919837.8244483,135,2.9406583309173584
1564920657.2135587,140,3.29182505607605
1564921495.9351668,145,3.3674111366271973
1564922372.962706,150,3.44443678855896
1564923199.3805048,155,3.352020263671875
1564924152.5253956,160,3.2816808223724365
1564925053.7376487,165,3.3945674896240234
1564925954.380381,170,3.161442279815674
1564926891.2470655,175,3.2944092750549316
1564927801.614616,180,3.3631374835968018
1564928754.4521713,185,3.0772836208343506
1564929646.523024,190,3.413912296295166
1564930562.8193843,195,3.4720280170440674
1564931505.4886465,200,3.1225626468658447
1564932443.5780833,205,3.7835795879364014
1564933351.4306152,210,3.6039516925811768
1564934275.0206976,215,3.451869249343872
1564935212.0026765,220,3.35172176361084
1564936153.3871963,225,3.302703857421875
1564937104.160638,230,3.6297519207000732
1564938030.676194,235,3.51485013961792
1564938951.7314303,240,3.5978832244873047
1564939896.7025342,245,3.8283183574676514
1564940817.257625,250,3.6659140586853027
