int,int,int,int,int,qua,qua,qua,qua,qua
tak,tak,our,our,our,tak,tak,tak,===,tak
our,===,tak,our,===,tak,===,tak,tak,tak
our,our,our,our,===,tak,===,tak,tak,our
===,our,our,our,our,tak,tak,tak,tak,tak
our,our,our,our,our,tak,our,tak,tak,tak
our,our,our,our,our,tak,tak,tak,tak,tak
our,===,===,our,tak,our,our,tak,tak,tak
