int,int,int,int,int,qua,qua,qua,qua,qua
our,our,our,===,tak,tak,tak,tak,tak,===
our,tak,our,tak,our,our,our,tak,tak,tak
our,our,tak,our,tak,our,tak,tak,our,tak
our,tak,our,tak,tak,tak,our,our,our,our
our,tak,our,tak,tak,our,tak,tak,our,tak
